date,user_id,comments
"July 27, 2018 10:12PM",benjaminh,"Mr_Shiftright said:
....Love that! I was just up in the mountains on a similar road with the Mini--and I realized how old the suspension has gotten after many miles. This car is really tired--it just couldn't hold the line when pushed. It was like driving a skateboard.

So your c. 10 year old Mini is worn out—and you're thinking of trading it in for a c. 20 year old Saab? You seem to be searching for exquisite automotive pain on multiple levels. Maybe a new base Mini with a manual might be something to consider? A car with new suspension parts and a warranty? Just a thought. I'm just a tad concerned that you're not able to enjoy driving as much as you should. But I realize it's none of my beeswax. Apologies...."
"July 27, 2018 10:18PM",benjaminh,"andres3 said:
....
i think you'd enjoy four-wheel DRIVING even more than steering. Did you consider or test drive the TLX with SH-AWD? I know you probably wouldn't like the fuel economy penalty, but a test drive wouldn't hurt to give consideration for the fun factor. Although, I'd imagine the 4-banger might be overtapped with AWD.
A 4-cylinder is really enough power for me. I didn't test drive the V-6 because I knew that wasn't in the cards—and not really suited for my budget and driving style. This particular 2018 TLX Tech 2.4 4WS had more than $6k of lease incentives. I did have a trade-in, but my monthly lease payment including taxes and everything else is $229 for a car that has an msrp of $37,600. That's the right level for our budget, esp. since my wife's payment on her 3-year car loan is $450—and we have a daughter starting college in a year.

But the 4-wheel steering on the TLX is enjoyable. I worry now that I won't want a car without this feature in the future. But given that Acuras with good maintenance and some luck tend to last a long time, this is a car that may—knock on wood—be with me for a while."
"July 27, 2018 10:22PM",andres3,"benjaminh said:
show previous quotes

A 4-cylinder is really enough power for me. I didn't test drive the V-6 because I knew that wasn't in the cards—and not really suited for my budget and driving style. This particular car had more than $6k of lease incentives. I did have a trade in, but my monthly payment including taxes and everything else is $229. That's the right level for our budget, esp. since my wife's payment on her 3-year car loan is $450.

But the 4-wheel steering on the TLX is enjoyable. I worry now that I won't want a car without this features in the future. But given that Acuras with good maintenance and some luck tend to last a long time, this is a car that may—knock on wood—be with me for a while.

So I think you answered my question, the SH-AWD is only available with the V6. The incentives were not as good on the V6's I take it?"
"July 27, 2018 10:25PM",benjaminh,"andres3 said:
....So I think you answered my question, the SH-AWD is only available with the V6. The incentives were not as good on the V6's I take it?
Yes, the super-handling awd is only available with the V-6. MSRP is significantly higher on those models, and the lease incentives weren't quite as high."
"July 27, 2018 10:48PM",benjaminh,"On those winding roads I was driving to a park that's popular with cyclists, and by chance I ended up parking my Acura TLX near a c. 2010 TL. This park is a private-public partnership and the infrastructure is excellent. Different grade levels and separate bridges for bikes and cars, rest areas for hikers and bikers, etc. One of the true treasures of the Louisville area. The bike ride up the big hill was tiring but good for this 53 year old. The bike ride down was grin-inspiring.

https://www.theparklands.org/the-vision.html"
"July 29, 2018  3:56PM",Mr_Shiftright,"benjaminh said:
show previous quotes


So your c. 10 year old Mini is worn out—and you're thinking of trading it in for a c. 20 year old Saab? You seem to be searching for exquisite automotive pain on multiple levels. Maybe a new base Mini with a manual might be something to consider? A car with new suspension parts and a warranty? Just a thought. I'm just a tad concerned that you're not able to enjoy driving as much as you should. But I realize it's none of my beeswax. Apologies....
I've always been a high-risk buyer, not in terms of buying cars that are broken, but in terms of buying cars with a dubious reputation---often those are the most fun (for me). I think the Saab would actually be newer. The Mini is a 2003 and most of it is original, except for all the parts that literally fell off it.

Actually what the Mini really needs is sticky tires and RWD."
"July 29, 2018  6:17PM",benjaminh,"Highway mpg continues to surprise on the upside with the TLX 2.4. Some manual calculations seem to indicate that it usually inflates the mpg by about .3 mpg or so. And so 39.5 would really probably be closer to 39.2. Both of these trips were c.90% highway with speeds ranging from c. 55-75 with the ac on. Somewhat hilly ride at times. Was making a tour of the historic downtown of Corydon, Indiana, where there is a little shop that specializes in old signs."
"July 29, 2018  6:38PM",sda,"Great mpg, and wonderful that you like the TLX so much. Enjoy the pics, too. Need to drive the CR-V some, give observations about it, and keep your mileage down on the TLX. But your wife might thump you on the head for taking her ride, lol."
"July 30, 2018  5:53AM",benjaminh,"sda said:
Great mpg, and wonderful that you like the TLX so much. Enjoy the pics, too. Need to drive the CR-V some, give observations about it, and keep your mileage down on the TLX. But your wife might thump you on the head for taking her ride, lol.
The CR-V is a very nice vehicle—but not really my cup of tea. It really is my wife's car. But you're right that I'm going to need to start driving it to reduce the added miles on the TLX. The CR-V feels rather big and tall compared to the TLX, or really almost anything else I've ever driven except my 1969 VW Bus from so long ago. Are you thinking of a CR-V? A CR-V really has good bang for the buck, with impressive passenger and cargo room."
"July 30, 2018  5:57PM",jpp75,"benjaminh said:
show previous quotes
The CR-V is a very nice vehicle—but not really my cup of tea. It really is my wife's car. But you're right that I'm going to need to start driving it to reduce the added miles on the TLX. The CR-V feels rather big and tall compared to the TLX, or really almost anything else I've ever driven except my 1969 VW Bus from so long ago. Are you thinking of a CR-V? A CR-V really has good bang for the buck, with impressive passenger and cargo room.
How many miles do you have on the TLX now? After going on a couple of test rides with @michaell I'm a fan of the 4 cylinder TLX."
